;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;demos necessairee ;demos;;;;demos habitation;432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;demos sante;300;;;;;;;;;;;;demos automobiles;149;;;;;;;;;;;demos comptables ;66;;;;demos avocats;52;;;;;;;;
;;952;958;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;5;5;5;5;5;5;5;;;;;
;;;;;53;22;3;15;6;3;3;45;3;3;19;3;17;14;11;3;3;3;3;19;3;11;3;3;3;60;3;11;14;12;3;3;48;3;3;18;20;2;3;15;4;43;14;13;18;20;15;3;2;24;2;12;2;18;2;2;2;2;39;2;13;15;2;26;12;2;12;2;2;2;16;2;43;2;2;21;41;2;2;2;2;2;1;0;0;0;0;0
;code secteurs;Secteur;Milieu;QC;Agents (Courtiers) immobiliers;Aménagement paysager;Asphalte / Scellants;Chauffage / Ventilation / Climatisation;Construction neuve;Déménagement;Démolition;Électriciens;Électroménagers;Énergie solaire;Entreposage;Entretien ménager;Équipement pour adoucissement d'eau;Exterminateurs;Fondations / Béton / Fissures;Forage de puits;Fosses septiques;Fournisseur d'Équipement de purification d'eau;Gestion immobiliaire;Maçons;Magasin d'articles de fête;Magasin de meubles;Menuisier;Nettoyage et lavage à la pression;Piscines et Spas;Plombiers;Propane / BBQ;Quincaillerie;Rénovations (Entrepreneur général);Réparation électroménagers;Serrurier;Systèmes d'alarme;Toitures;Vitrier;Acupuncteurs;Chiropraticiens;Chirurgie esthétique / plastique;Chirurgie générale;Clinique spécialisée;Cliniques médicales;Cliniques santé voyage;Dentistes;Dermatologues;Épilation au laser;Esthétique;Gyms;Gynécologues;Hôpitaux;Implantologie;Lunetteries / Optométristes;Magasin d'articles spirituels;Salon de manucure;Orthodontistes;Pharmacies;Physiothérapeutes;Psychologues;Psychothérapeutes;Salon de coiffure;Soins médico-esthétique;Toilettage pour animaux;Carrosserie;Esthétique automobile;Financement auto;Garage mécanique;Lave auto;Magasin d'accessoires automobiles;Moto / VTT;Pare-brise;Pièces d'auto;Pneus;Taxi;Transport;Voitures d'occassion;Gestion comptable;Prêteur privé;Courtiers hypothécaires;Avocat généraliste;Avocat en droit des affaires;Avocat en droit des aînés;Avocat en droit civil;Avocat en droit criminel et pénal;Avocat en droit familial;Avocat en droit immobilier;;;;;
;;;;FR;Agents (Courtiers) immobiliers;Aménagement paysager;Entreprise de revêtement de sols et de murs;Chauffage/ Ventilation/ Climatisation;Constructeur de maisons ;Déménagement;Démolition;Électricien;Électroménagers;Énergie solaire;Entreposage;Entretien ménager;Matériel pour adoucisseur d'eau;Exterminateurs;Réparateur de fondations;Entreprise de forage;Fosses septiques;Fournisseur de matériel en traitement de l'eau;Gestion immobilère/ Agence immobilière;Maçon;Magasin d'articles de fête;Magasin de meubles;Menuisier;Nettoyage haute pression/ Service de lavage haute pression;Piscine et spas;2;Gaz/ BBQ;Quincaillerie;Rénovations ;Réparation électroménagers;Serrurier;Systèmes d'alarme;Toitures;Vitrier;Acupunteurs;Chiropracteurs;Chirurgie plastique/ Médecine esthétique;Chirurgie générale;Clinique privée;Cliniques privées/ Centres médicaux;Inexistant en France;Dentistes;Dermatologues;Épilation au laser;Esthétique;Salle de sport;Gynécologues;Hôpitaux;Implantologie;Lunetterie/ Optométristes;Boutique ésotérique;Salon de manucure;Orthodontiste;Pharmacie;Kinésithérapeute;Psychologues;Psychothérapeutes;Salon de coiffure;Soins médico-esthétique;Toilettage pour animaux;Carrosserie;Esthétique automobile;Financement auto/ Crédit auto;Mécanique auto/ Garage;Lavage auto;Magasin d'accessoires automobiles;Moto/ VTT;Pare-brise;Pièces auto;Pneus;Taxi;Transport;Voitures d'occassion;Gestion comptable;Prêteur privé;Courtier hypothécaire;Avocat généraliste;Avocat en droit des affaires;Avocat en droit des seniors;Avocat en droit civil;Avocat en droit pénal;Avocat en droit de la famille;Avocat en droit immobilier;;;;;
;;;;ES;Agentes inmobiliarios (corredores);Paisajismo/paisajista;Asfalto / Sellante;Calefacción / Ventilación / Aire acondicionado;Nueva construcción u obra nueva;Mudanza / trasteo;Demolición;Electricistas;Electrodomésticos;Energía solar;Almacenamiento o depósito;Mantenimiento o limpieza del hogar;Equipos de ablandamiento o descalcificación del agua;Exterminadores;Cimientos / Hormigón / Grietas;Perforación de pozos;Pozos sépticos;Proveedor de equipos de purificación de agua;Gestión inmobiliaria o Gestión de la propiedad;Albañiles;Tienda de artículos de fiesta;Tienda de muebles;Carpintero o ebanista;Limpieza y lavado a presión;Piscinas y spas;Plomeros;Propano / Barbacoa;Ferretería;Remodelaciones o renovaciones (Contratista general);Reparación de electrodomésticos;Cerrajero;Sistemas de alarma;Tejados;Vidriero;Acupunturistas;Quiroprácticos;Cirugía estética / plástica;Cirugía general;Cirugía especializada;Clínicas médicas;Clínicas de salud para viajeros;Dentistas,  odontólogos ortodoncista;Dermatólogos;Depilación láser;Estética;Gimnasios;Ginecólogos;Hospitales;Implantología;Óptica / gafas o anteojos  / Optometristas;Tienda de artículos espirituales;Salón de uñas o salón de manicura;Ortodoncistas;Farmacias;Fisioterapeutas;Psicólogos;Psicoterapeutas;Peluquería o salón de belleza;Cuidados médicos y estéticos;Peluquería canina;Carrosería o Chasis;Estética de automóviles o carros;Financiación de autos o carros;Mecánicos de taller o mecánicos;Lavadero de carros o lavado de autos;Tiendas de accesorios para automóviles;Moto / Bicicletas de montaña o bicicletas todo terreno;Parabrisas;Piezas o partes de automóviles / autopartes;Neumáticos;Taxi;Transporte;Carros usados;Gestión contable;Prestamista privado;Corredores hipotecarios;Abodado especialista / generalista;Abogado empresarial o de empresa;Abogado especializado en Derecho de la vejez;Abogado civil o abogado en derecho civil;Abogado penalista o Abogado en derecho penal y criminal;Abogado de familia o Abogado de derecho de familia;Abogado de bienes raices o abogado inmobiliario;;;;;
2;1;Uribia;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2;Riohacha;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;
6;3;Maicao;1;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4;Manaure;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;San Juan del cesar;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6;Mangangué;2;;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;
5;7;Arjona;2;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;8;Turbaco;2;;1;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;9;El Carmen de Bolivar;2;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;
6;10;Maria la Baja;2;;;;;;;;;1;;1;;;;;;;  ;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;
2;11;Santa Cruz de Mompox;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;12;Santa Rosa del Sur;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;13;Santa Cruz de Lorica;1;;;;;1;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
